region,Collision with vehicle,Collision with a fixed object,collision with some other object,No collision and no object struck,Vehicle overturned (no collision),Struck Pedestrian,Struck animal,Fall from or in moving vehicle
Victoria,0.6203810546088824,0.15807057560713805,0.008828659600161009,0.05458204749765195,0.045833892392325236,0.09417684154031933,0.009459278143029652,0.00802361465181806
Eastern,0.6428548710282752,0.15336662319900768,0.00817404026589485,0.04996660411564518,0.03997964441334563,0.09341305938106294,0.004834451830412518,0.006997232912439172
Northern,0.39384076114171257,0.28254882323485225,0.024661992989484228,0.09864797195793691,0.107035553329995,0.0456935403104657,0.03467701552328493,0.011892839258888333
Western,0.651804791886271,0.13395629754138058,0.005811800233611578,0.04868807156491268,0.037149938748183814,0.10589441896242273,0.007863023845474488,0.008062448363294493
